activity,micromorts,microlives,category,period,period_type,period_days,micromorts_per_day,source_url,n_components,hedgeable_pct,source_id,confidence,year,geography,age_group,last_accessed
Commuting by car (30 min),0.13,0.1,Travel,per trip,event,0.17,0.76,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Commuting by bicycle (30 min),0.5,0.3,Travel,per trip,event,0.17,2.94,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Working in an office (8 hours),0.03,0,Daily Life,per day,day,1,0.03,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Taking a bath,0.07,0,Daily Life,per event,event,1,0.07,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Crossing a road,0.02,0,Daily Life,per event,event,1,0.02,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Airline pilot (annual radiation),0.15,0.1,Occupation,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,100,unknown,low,2025,global,all,2026-03-15
X-ray technician (annual radiation),0.05,0,Occupation,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,100,unknown,low,2025,global,all,2026-03-15
Dental radiographer (annual radiation),0.01,0,Occupation,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,100,unknown,low,2025,global,all,2026-03-15
Nuclear plant worker (annual radiation),0.1,0.1,Occupation,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,100,unknown,low,2025,global,all,2026-03-15
Interventional cardiologist (annual radiation),0.175,0.1,Occupation,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,100,unknown,low,2025,global,all,2026-03-15
Frequent executive flyer (annual cosmic),0.15,0.1,Travel,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,0,unknown,low,2025,global,all,2026-03-15
Business traveller (annual cosmic),0.0375,0,Travel,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,0,unknown,low,2025,global,all,2026-03-15
Annual tourist flyer (annual cosmic),0.006,0,Travel,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,0,unknown,low,2025,global,all,2026-03-15
Granite resident (annual radon),0.1,0.1,Environment,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,100,unknown,low,2025,global,all,2026-03-15
High-altitude resident (annual cosmic),0.035,0,Environment,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,0,unknown,low,2025,global,all,2026-03-15
Normal background radiation,0.12,0.1,Environment,per year,year,365,0,https://www.unscear.org/unscear/en/publications/2020.html,1,0,unknown,low,2025,global,all,2026-03-15
Shark encounter (ocean swim),0.06,0,Wildlife,per swim,event,0.04,1.5,https://www.floridamuseum.ufl.edu/shark-attacks/,1,100,unknown,low,2025,global,all,2026-03-15
Dog bite (US),6.7,4.7,Wildlife,per bite,event,0.01,670,https://www.cdc.gov/injury/,1,100,unknown,low,2025,global,all,2026-03-15
Bee/wasp sting (general),0.03,0,Wildlife,per sting,event,0.01,3,https://www.cdc.gov/injury/,1,100,unknown,low,2025,global,all,2026-03-15
"Snake bite (US, with antivenom)",0.5,0.3,Wildlife,per bite,event,0.01,50,https://www.cdc.gov/injury/,1,100,unknown,low,2025,global,all,2026-03-15
Logging (per work day),3.3,2.3,Occupation,per day,day,1,3.3,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
Commercial fishing (per work day),3,2.1,Occupation,per day,day,1,3,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
Roofing (per work day),1.9,1.3,Occupation,per day,day,1,1.9,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
Structural iron/steel work (per work day),1.5,1,Occupation,per day,day,1,1.5,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
Truck driving (per work day),1.2,0.8,Occupation,per day,day,1,1.2,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
Mining (per work day),0.9,0.6,Occupation,per day,day,1,0.9,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
Agriculture (per work day),0.7,0.5,Occupation,per day,day,1,0.7,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
"Construction (all, per work day)",0.5,0.3,Occupation,per day,day,1,0.5,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
All US workers baseline (per work day),0.15,0.1,Occupation,per day,day,1,0.15,https://www.bls.gov/iif/fatal-injuries-tables.htm,1,0,unknown,low,2025,global,all,2026-03-15
